"","week","cases","deaths","deaths_onset"
"1",5,0,0,0
"2",6,0,0,0
"3",7,0,0,0
"4",8,0,0,0
"5",9,3,0,0
"6",10,23,0,22
"7",11,214,0,75
"8",12,833,22,142
"9",13,2138,75,230
"10",14,4147,142,284
"11",15,5869,230,216
"12",16,5069,284,201
"13",17,4794,216,236
"14",18,4302,201,209
"15",19,4380,236,209
"16",20,4067,209,243
"17",21,5427,209,176
"18",22,4825,243,232
"19",23,4729,176,147
"20",24,5897,232,143
"21",25,7766,147,85
"22",26,13136,143,137
"23",27,17220,85,144
"24",28,22969,137,331
"25",29,24653,144,325
"26",30,24863,331,375
"27",31,24466,325,498
"28",32,23100,375,430
"29",33,19545,498,466
"30",34,17161,430,418
"31",35,14296,466,297
"32",36,13199,418,245
"33",37,11393,297,354
"34",38,11667,245,224
"35",39,8070,354,235
